TPS,Espacement,Densite,id plante,id talle,topologie,nb_feuille_emergees,Biomasse_feuilles_emergees,Surface_feuilles_emergees
49.0,50.0,400,2,1,"(0,)",2,0.00012351548246542927,4.453451233985471
49.0,50.0,400,3,1,"(0,)",2,0.00012351548246542927,4.453451233985471
49.0,50.0,400,4,1,"(0,)",2,0.00012351548246542927,4.453451233985471
50.0,50.0,400,1,1,"(0,)",2,0.0001342070944934792,4.453451233985471
50.0,50.0,400,2,1,"(0,)",2,0.0001342070944934792,4.453451233985471
50.0,50.0,400,3,1,"(0,)",2,0.0001342070944934792,4.453451233985471
50.0,50.0,400,4,1,"(0,)",2,0.0001342070944934792,4.453451233985471
51.0,50.0,400,1,1,"(0,)",2,0.00016805957473110434,10.849078321259377
51.0,50.0,400,2,1,"(0,)",2,0.00017296344214143522,10.983498738908368
51.0,50.0,400,3,1,"(0,)",2,0.00016805957473110434,10.849078321259377
51.0,50.0,400,4,1,"(0,)",2,0.000178033407927506,11.107759097182939
52.0,50.0,400,1,1,"(0,)",2,0.00018352609343137732,11.734324175219562
52.0,50.0,400,2,1,"(0,)",2,0.00018930333825516746,11.86638201736724
52.0,50.0,400,3,1,"(0,)",2,0.00018352609343137732,11.734324175219562
52.0,50.0,400,4,1,"(0,)",2,0.000195367730826741,12.032049090961273
53.0,50.0,400,1,1,"(0,)",2,0.00020033236444548196,12.549255652559495
53.0,50.0,400,2,1,"(0,)",2,0.0002071233238029561,12.785854323233092
53.0,50.0,400,3,1,"(0,)",2,0.00020033236444548196,12.549255652559495
53.0,50.0,400,4,1,"(0,)",2,0.00021434873339670174,13.074126025691903
54.0,50.0,400,1,1,"(0,)",2,0.00021855426066829105,13.581792864288307
54.0,50.0,400,2,1,"(0,)",2,0.0002265084900366366,13.877875812574729
54.0,50.0,400,3,1,"(0,)",2,0.00021855426066829105,13.581792864288307
54.0,50.0,400,4,1,"(0,)",2,0.00023507238081071246,14.297057821573418
55.0,50.0,400,1,1,"(0,)",2,0.00023827046528567607,14.802831112980712
55.0,50.0,400,2,1,"(0,)",2,0.00024754671159027983,15.095263531351737
55.0,50.0,400,3,1,"(0,)",2,0.00023827046528567607,14.802831112980712
55.0,50.0,400,4,1,"(0,)",2,0.0002576372192198242,15.580089561511468
56.0,50.0,400,1,1,"(0,)",2,0.00025956247646013244,16.033243304790936
56.0,50.0,400,2,1,"(0,)",2,0.00027032859976668506,16.447423534209232
56.0,50.0,400,3,1,"(0,)",2,0.00025956247646013244,16.033243304790936
56.0,50.0,400,4,1,"(0,)",2,0.0002821442293741415,16.936792704269056
